date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:32:20	148/148	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%2216e-4d021de8b1e40-gzip%22	http://ctd-staging.maisey.uk/robots.txt		(from )
17:32:20	26716/26716	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2016:32:20%20GMT	http://ctd-staging.maisey.uk/	ctd-staging.maisey.uk/index.html	(from )
17:32:20	14071/14071	---M-Z	200	added ('OK')	text/css	etag:%2236f7-4d021dec82740-gzip%22	http://ctd-staging.maisey.uk/packages/theme_slate/themes/slate/columnal.css	ctd-staging.maisey.uk/packages/theme_slate/themes/slate/columnal.css	(from http://ctd-staging.maisey.uk/)
17:32:20	3792/3792	---M-Z	200	added ('OK')	text/css	etag:%22ed0-564a1a2423154-gzip%22	http://ctd-staging.maisey.uk/files/cache/css/slate/typography.css	ctd-staging.maisey.uk/files/cache/css/slate/typography.css	(from http://ctd-staging.maisey.uk/)
17:32:21	17735/17735	---M-Z	200	added ('OK')	text/css	etag:%224547-564a1a2423154-gzip%22	http://ctd-staging.maisey.uk/files/cache/css/slate/main.css	ctd-staging.maisey.uk/files/cache/css/slate/main.css	(from http://ctd-staging.maisey.uk/)
17:32:21	1295/1295	---M-Z	200	added ('OK')	text/css	etag:%2250f-4d021dec82740-gzip%22	http://ctd-staging.maisey.uk/packages/theme_slate/themes/slate/mobile.css	ctd-staging.maisey.uk/packages/theme_slate/themes/slate/mobile.css	(from http://ctd-staging.maisey.uk/)
17:32:21	26716/26716	---M-Z	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2016:32:21%20GMT	http://ctd-staging.maisey.uk/index.php	ctd-staging.maisey.uk/index-2.html	(from http://ctd-staging.maisey.uk/)
17:32:21	1639/1639	---M-Z	200	added ('OK')	text/css	etag:%22667-4eb9db01e2100-gzip%22	http://ctd-staging.maisey.uk/updates/concrete5.6.2.1_updater/concrete/css/ccm.base.css?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/updates/concrete5.6.2.1_updater/concrete/css/ccm.base0da7.css	(from http://ctd-staging.maisey.uk/)
17:32:22	2450/2450	---M-Z	200	added ('OK')	application/javascript	etag:%22992-4eb9db01e2100-gzip%22	http://ctd-staging.maisey.uk/updates/concrete5.6.2.1_updater/concrete/js/ccm.base.js?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/updates/concrete5.6.2.1_updater/concrete/js/ccm.base0da7.js	(from http://ctd-staging.maisey.uk/)
17:32:22	1969/1969	---M-Z	200	added ('OK')	text/css	etag:%227b1-5302562057000-gzip%22	http://ctd-staging.maisey.uk/packages/unoslider/blocks/unoslider/templates/elegant/css/unoslider.css?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/packages/unoslider/blocks/unoslider/templates/elegant/css/unoslider0da7.css	(from http://ctd-staging.maisey.uk/)
17:32:22	36828/36828	---M-Z	200	added ('OK')	text/css	etag:%228fdc-5302562057000-gzip%22	http://ctd-staging.maisey.uk/packages/unoslider/blocks/unoslider/templates/elegant/css/themes.css?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/packages/unoslider/blocks/unoslider/templates/elegant/css/themes0da7.css	(from http://ctd-staging.maisey.uk/)
17:32:23	3250/3250	---M-Z	200	added ('OK')	text/css	etag:%22cb2-530244e2bc300-gzip%22	http://ctd-staging.maisey.uk/packages/jb_smooth/blocks/jb_smooth/css/smoothDivScroll.css?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/packages/jb_smooth/blocks/jb_smooth/css/smoothDivScroll0da7.css	(from http://ctd-staging.maisey.uk/)
17:32:23	8360/8360	---M-Z	200	added ('OK')	text/css	etag:%2220a8-530244e2bc300-gzip%22	http://ctd-staging.maisey.uk/packages/jb_smooth/blocks/jb_smooth/css/magnific.css?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/packages/jb_smooth/blocks/jb_smooth/css/magnific0da7.css	(from http://ctd-staging.maisey.uk/)
17:32:23	94840/94840	---M-Z	200	added ('OK')	application/javascript	etag:%2217278-4eb9db01e2100-gzip%22	http://ctd-staging.maisey.uk/updates/concrete5.6.2.1_updater/concrete/js/jquery.js?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/updates/concrete5.6.2.1_updater/concrete/js/jquery0da7.js	(from http://ctd-staging.maisey.uk/)
17:32:24	20524/20524	---M-Z	200	added ('OK')	application/javascript	etag:%22502c-5302562057000-gzip%22	http://ctd-staging.maisey.uk/packages/unoslider/blocks/unoslider/templates/elegant/js/unoslider.js?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/packages/unoslider/blocks/unoslider/templates/elegant/js/unoslider0da7.js	(from http://ctd-staging.maisey.uk/)
17:32:24	666/666	---M-Z	200	added ('OK')	text/css	etag:%2229a-530244e2bc300-gzip%22	http://ctd-staging.maisey.uk/packages/jb_smooth/blocks/jb_smooth/css/smooth.css?v=b4f44e4901a182db06e4752ec08f50c2	ctd-staging.maisey.uk/packages/jb_smooth/blocks/jb_smooth/css/smooth0da7.css	(from http://ctd-staging.maisey.uk/)
